Plugin	Plugin Name	Family	Severity	IP Address	Node Name	Branch	DeviceCategory	Environment	Criticality	Protocol	Port	Plugin Output	First Discovered	Last Observed	Synopsis	Description	Steps to Remediate	See Also	Vulnerability Priority Rating	Exploit Prediction Scoring System (EPSS)	CPE	CVE
183958	VMware vCenter Server 7.0 < 7.0U3o / 8.0 < 8.0U2 Partial Information Disclosure (VMSA-2023-0023)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 Build 22357613 (U3o)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by a partial information disclosure vulnerability.	"The version of VMware vCenter Server installed on the remote host is 7.0 prior to 7.0U3o, or 8.0 prior to 8.0U2. It is, therefore, affected by a partial information disclosure vulnerability as referenced in the VMSA-2023-0023 advisory:

  - vCenter Server contains a partial information disclosure vulnerability. A malicious actor with non-administrative     privileges to vCenter Server may leverage this issue to access unauthorized data. (CVE-2023-34056)   Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware vCenter Server 7.0U3o, or 8.0U2 or later."	"https://www.vmware.com/security/advisories/VMSA-2023-0023.html
https://core.vmware.com/resource/vmsa-2023-0023-questions-answers"	1.2	0.37	cpe:/a:vmware:vcenter_server	CVE-2023-34056
187201	OpenSSH < 9.6 Multiple Vulnerabilities	Misc.	Medium		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 9.6p1 / 9.6
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by multiple vulnerabilities.	"The version of OpenSSH installed on the remote host is prior to 9.6. It is, therefore, affected by multiple vulnerabilities as referenced in the release-9.6 advisory.

  - ssh(1), sshd(8): implement protocol extensions to thwart the so-called Terrapin attack discovered by     Fabian Bumer, Marcus Brinkmann and Jrg Schwenk. This attack allows a MITM to effect a limited break of     the integrity of the early encrypted SSH transport protocol by sending extra messages prior to the     commencement of encryption, and deleting an equal number of consecutive messages immediately after     encryption starts. A peer SSH client/server would not be able to detect that messages were deleted. While     cryptographically novel, the security impact of this attack is fortunately very limited as it only allows     deletion of consecutive messages, and deleting most messages at this stage of the protocol prevents user     user authentication from proceeding and results in a stuck connection. The most serious identified impact     is that it lets a MITM to delete the SSH2_MSG_EXT_INFO message sent before authentication starts, allowing     the attacker to disable a subset of the keystroke timing obfuscation features introduced in OpenSSH 9.5.
    There is no other discernable impact to session secrecy or session integrity. OpenSSH 9.6 addresses this     protocol weakness through a new strict KEX protocol extension that will be automatically enabled when     both the client and server support it. This extension makes two changes to the SSH transport protocol to     improve the integrity of the initial key exchange. Firstly, it requires endpoints to terminate the     connection if any unnecessary or unexpected message is received during key exchange (including messages     that were previously legal but not strictly required like SSH2_MSG_DEBUG). This removes most malleability     from the early protocol. Secondly, it resets the Message Authentication Code counter at the conclusion of     each key exchange, preventing previously inserted messages from being able to make persistent changes to     the sequence number across completion of a key exchange. Either of these changes should be sufficient to     thwart the Terrapin Attack. More details of these changes are in the PROTOCOL file in the OpenSSH source     distribition. (CVE-2023-48795)

  - ssh-agent(1): when adding PKCS#11-hosted private keys while specifying destination constraints, if the     PKCS#11 token returned multiple keys then only the first key had the constraints applied. Use of regular     private keys, FIDO tokens and unconstrained keys are unaffected. (CVE-2023-51384)

  - ssh(1): if an invalid user or hostname that contained shell metacharacters was passed to ssh(1), and a     ProxyCommand, LocalCommand directive or match exec predicate referenced the user or hostname via %u, %h     or similar expansion token, then an attacker who could supply arbitrary user/hostnames to ssh(1) could     potentially perform command injection depending on what quoting was present in the user-supplied     ssh_config(5) directive. This situation could arise in the case of git submodules, where a repository     could contain a submodule with shell characters in its user/hostname. Git does not ban shell     metacharacters in user or host names when checking out repositories from untrusted sources. Although we     believe it is the user's responsibility to ensure validity of arguments passed to ssh(1), especially     across a security boundary such as the git example above, OpenSSH 9.6 now bans most shell metacharacters     from user and hostnames supplied via the command-line. This countermeasure is not guaranteed to be     effective in all situations, as it is infeasible for ssh(1) to universally filter shell metacharacters     potentially relevant to user-supplied commands. User/hostnames provided via ssh_config(5) are not subject     to these restrictions, allowing configurations that use strange names to continue to be used, under the     assumption that the user knows what they are doing in their own configuration files. (CVE-2023-51385)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 9.6 or later.	https://www.openssh.com/txt/release-9.6	5	93.31	cpe:/a:openbsd:openssh	"CVE-2023-48795,CVE-2023-51384,CVE-2023-51385"
200746	VMware vCenter Server 7.0 < 7.0U3r / 8.0 < 8.0U2d Multiple Vulnerabilities (VMSA-2024-0012)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 Build 24026615 (U3r)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by multiple vulnerabilities.	"The version of VMware vCenter Server installed on the remote host is 7.0 prior to 7.0U3r, or 8.0 prior to 8.0U2d. It is, therefore, affected by a partial information disclosure vulnerability as referenced in the VMSA-2024-0012 advisory:

  - The vCenter Server contains multiple heap-overflow vulnerabilities in the implementation of the DCERPC protocol.     (CVE-2024-37079, CVE-2024-37080)

  - The vCenter Server contains multiple local privilege escalation vulnerabilities due to misconfiguration of sudo.     (CVE-2024-37081)   Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware vCenter Server 7.0U3r, or 8.0U2d or later."	"http://www.nessus.org/u?448f7cb3
https://core.vmware.com/resource/vmsa-2024-0012-questions-answers"	7.9	22.38	cpe:/a:vmware:vcenter_server	"CVE-2024-37079,CVE-2024-37080,CVE-2024-37081"
201124	VMware vCenter Server 7.0 < 7.0U3q / 8.0 < 8.0U3 DoS (CVE-2024-37087)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  URL               : https://21.233.200.230/
  Installed version : VMware vCenter Server 7.0.2 build-17958471
  Fixed version     : 7.0 Build 23788036 (U3q)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by an Denial of Service vulnerability.	"The version of VMware vCenter Server installed on the remote host is 7.0 prior to 7.0U3q, or 8.0 prior to 8.0U3. It is, therefore, affected by an denial-of-service vulnerability as referenced in the VMSA-2024-0013 advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware vCenter Server 7.0U3q, or 8.0U3 or later."	http://www.nessus.org/u?04fbf245	1.2	0.15	cpe:/a:vmware:vcenter_server	CVE-2024-37087
207464	VMware vCenter Server 7.x < 7.0 U3t / 8.x < 8.0.3 U3d Multiple Vulnerabilities (VMSA-2024-0019)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  URL               : https://21.233.200.230/
  Installed version : VMware vCenter Server 7.0.2 build-17958471
  Fixed version     : 7.0 Build 24322018 (U3t)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by multiple vulnerabilities.	"The version of VMware vCenter Server installed on the remote host is 7.x prior to 7.0 U3t or 8.x prior to 8.0 U3d. It is, therefore, affected by multiple vulnerabilities as referenced in the VMSA-2024-0019 advisory:

  - The vCenter Server contains a heap-overflow vulnerability in the implementation of the DCERPC protocol. A     malicious actor with network access to vCenter Server may trigger this vulnerability by sending a     specially crafted network packet potentially leading to remote code execution. (CVE-2024-38812)

  - The vCenter Server contains a privilege escalation vulnerability. A malicious actor with network access to     vCenter Server may trigger this vulnerability to escalate privileges to root by sending a specially     crafted network packet. (CVE-2024-38813)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number."	"Upgrade to VMware vCenter Server 7.0 U3t, 8.0 U3d or later."	http://www.nessus.org/u?2748da59	8.9	54.14	cpe:/a:vmware:vcenter_server	"CVE-2024-38812,CVE-2024-38813"
234554	OpenSSH < 10.0 DisableForwarding	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 10.0
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by a vulnerability.	"The version of OpenSSH installed on the remote host is prior to 10.0. It is, therefore, affected by a vulnerability. In sshd in OpenSSH the DisableForwarding directive does not adhere to the documentation stating that it disables X11 and agent forwarding.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 10.0 or later.	https://www.openssh.com/txt/release-10.0	1.2	0.01	cpe:/a:openbsd:openssh	CVE-2025-32728
237247	VMware vCenter Server 7.0.x < 7.0 U3v / 8.0.x < 8.0 U3e Authenticated Command Execution (CVE-2025-41225) (VMSA-2025-0010)	Misc.	High		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  Installed version : 7.0 Build 17958471
  Fixed version     : 7.0 Build 24730281 (U3v)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by a vulnerability.	"The version of VMware vCenter Server installed on the remote host is 7.0.x prior to 7.0 U3v, 8.0.x prior to 8.0 U3e.
It is, therefore, affected by a vulnerability as referenced in the VMSA-2025-0010 advisory.

  - The vCenter Server contains an authenticated command-execution vulnerability. (CVE-2025-41225)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."	"Upgrade to vCenter Server 7.0 U3v, 8.0 U3e or later."	http://www.nessus.org/u?c8ce45e5	7	0.02	cpe:/a:vmware:vcenter_server	CVE-2025-41225
245963	VMware vCenter Server 7.0.x < 7.0 U3v / 8.0.x < 8.0 U3g DoS (VMSA-2025-0014)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  URL               : https://21.233.200.230/
  Installed version : VMware vCenter Server 7.0.2 build-17958471
  Fixed version     : 7.0 Build 24730281 (U3v)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by a DoS vulnerability.	"The version of VMware vCenter Server installed on the remote host is 7.0.x prior to 7.0 U3v, or 8.0.x prior to 8.0 U3g. It is, therefore, affected by a vulnerability as referenced in the VMSA-2025-0014 advisory. A malicious actor who is authenticated through vCenter and has permission to perform API calls for guest OS customisation may trigger this vulnerability to create a denial-of-service condition.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."	"Upgrade to vCenter Server 7.0 U3v, 8.0 U3g or later."	http://www.nessus.org/u?eaf824fb	3	0.04	cpe:/a:vmware:vcenter_server	CVE-2025-41241
266405	VMware vCenter Server 7.0.x < 7.0 U3w / 8.0.x < 8.0 U3g SMTP Header Injection (VMSA-2025-0016)	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	443	"<plugin_output>
  URL               : https://21.233.200.230/
  Installed version : VMware vCenter Server 7.0.2 build-17958471
  Fixed version     : 7.0 Build 24927011 (U3w)
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The VMware vCenter Server is affected by a DoS vulnerability.	"The version of VMware vCenter Server installed on the remote host is 7.0.x prior to 7.0 U3w, or 8.0.x prior to 8.0 U3g. It is, therefore, affected by a vulnerability as referenced in the VMSA-2025-0016 advisory:

  - VMware vCenter contains an SMTP header injection vulnerability. A malicious actor with non-administrative   privileges on vCenter who has permission to create scheduled tasks may be able to manipulate the   notification emails sent for scheduled tasks.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."	"Upgrade to vCenter Server 7.0 U3w, 8.0 U3g or later."	http://www.nessus.org/u?b6adfef6	3.9	0.05	cpe:/a:vmware:vcenter_server	CVE-2025-41250
269984	OpenSSH < 10.1 / 10.1p1 Multiple Vulnerabilities	Misc.	Low		BOCEU-Dublin-Server-PRO-vCenter	Dublin	Virtual Machine	Production	Critical	TCP	22	"<plugin_output>
  Version source    : SSH-2.0-OpenSSH_7.8
  Installed version : 7.8
  Fixed version     : 10.1 / 10.1.p1
</plugin_output>"	"Jun 06, 2026 11:23:08 CEST"	"Aug 15, 2026 11:21:06 CEST"	The SSH server running on the remote host is affected by multiple vulnerabilities.	"The version of OpenSSH installed on the remote host is prior to 10.1. It is, therefore, affected by multiple vulnerabilities:

  - ssh in OpenSSH before 10.1 allows control characters in usernames that originate from certain possibly     untrusted sources, potentially leading to code execution when a ProxyCommand is used. The untrusted     sources are the command line and %-sequence expansion of a configuration file. (A configuration file     that provides a complete literal username is not categorized as an untrusted source.) (CVE-2025-61984)

  - ssh in OpenSSH before 10.1 allows the '\0' character in an ssh:// URI, potentially leading to code execution when a     ProxyCommand is used. (CVE-2025-61985)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number."	Upgrade to OpenSSH version 10.1/10.1p1 or later.	https://www.openssh.com/releasenotes.html#10.1p1	2.1	0.01	cpe:/a:openbsd:openssh	"CVE-2025-61984,CVE-2025-61985"
