item_id,framework,method,existing_mapping_correct,existing_mapping_total,missing_mapping_true_positive,missing_mapping_proposed,missing_mapping_reference_total,evidence_errors,unsupported_claims,execution_time_min,human_review_time_min,total_time_min,short_note
DORA-14,DORA,llm_only,,1,,1,,,,0.129,,,
DORA-14,DORA,agentic_rag,,1,,0,,,,0.043,,,
DORA-15,DORA,manual,,1,,,,,,,,,
DORA-15,DORA,llm_only,,1,,0,,,,0.142,,,
DORA-15,DORA,agentic_rag,,1,,0,,,,0.159,,,
DORA-16,DORA,manual,,1,,,,,,,,,
DORA-16,DORA,llm_only,,1,,0,,,,0.084,,,
DORA-16,DORA,agentic_rag,,1,,0,,,,0.076,,,
DORA-17,DORA,manual,,1,,,,,,,,,
DORA-17,DORA,llm_only,,1,,0,,,,0.041,,,
DORA-17,DORA,agentic_rag,,1,,0,,,,0.089,,,
DORA-18,DORA,manual,,2,,,,,,,,,
DORA-18,DORA,llm_only,,2,,1,,,,0.267,,,
DORA-18,DORA,agentic_rag,,2,,2,,,,0.201,,,
DORA-19,DORA,manual,,1,,,,,,,,,
DORA-19,DORA,llm_only,,1,,1,,,,0.213,,,
DORA-19,DORA,agentic_rag,,1,,0,,,,0.061,,,
DORA-20,DORA,manual,,2,,,,,,,,,
DORA-20,DORA,llm_only,,2,,1,,,,0.213,,,
DORA-20,DORA,agentic_rag,,2,,1,,,,0.121,,,
DORA-21,DORA,manual,,1,,,,,,,,,
DORA-21,DORA,llm_only,,1,,1,,,,0.117,,,
DORA-21,DORA,agentic_rag,,1,,0,,,,0.055,,,
DORA-22,DORA,manual,,1,,,,,,,,,
DORA-22,DORA,llm_only,,1,,0,,,,0.052,,,
DORA-22,DORA,agentic_rag,,1,,0,,,,0.056,,,
